trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-479.9599660813221,"{0: 72, 1: 22, 2: 18, 3: 2, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,-69,-331.7601284554403,"{0: 66, 1: 12, 2: 15, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-23,-443.5046225462849,"{0: 30, 1: 2, 2: 4, 3: 2, 4: 10}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-14,-232.78833403294365,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-57,-281.6602175703837,"{0: 52, 1: 9, 2: 16, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-60,-372.82936090556484,"{0: 58, 1: 8, 2: 11, 3: 1, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,7,-31.584026457739007,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-45,-138.25727021079615,"{0: 48, 1: 6, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,6,-22.92514446624717,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-37,-95.20371531474802,"{0: 49, 1: 3, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,-24,-181.06791437983853,"{0: 39, 1: 3, 2: 7, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-2,-123.97959956786234,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-6,-101.95270416601288,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,-39,-27.06889712355978,"{0: 58, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-2,-4.9745482968915615,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,-4,-31.97541755592399,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-23.931161740216375,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,20,9.893190249627802,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-14,56.1135000821904,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,-13,13.498491272107936,"{0: 34, 1: 1, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,-29.858099822965876,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,19,2.152958342608505,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,-23.636380369269542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,-3,-4.949000217716209,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,9,22.44818466081879,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,-3,-8.807051228447897,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,4,2.090458494344899,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,31.181923302122065,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,5.406299905454571,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,16,27.45788808001627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
