trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.995}",25,-19,-279.92600235715713,"{0: 23, 1: 4, 2: 11, 3: 3, 4: 3}",0
2,False,"{'a': 0.05, 'e': 0.99}",20,-53,-380.91438891684163,"{0: 42, 1: 11, 2: 13, 3: 1, 4: 6}",0
3,False,"{'a': 0.05, 'e': 0.985}",30,-82,-482.95842920693667,"{0: 63, 1: 12, 2: 29, 3: 5, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.98}",20,-100,-721.0193383545381,"{0: 67, 1: 13, 2: 25, 3: 5, 4: 10}",0
5,False,"{'a': 0.05, 'e': 0.975}",30,-24,-250.88091338989582,"{0: 31, 1: 9, 2: 7, 3: 5, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.97}",30,-100,-739.5383742583463,"{0: 81, 1: 12, 2: 19, 3: 5, 4: 13}",0
7,False,"{'a': 0.05, 'e': 0.965}",30,-100,-551.2450393201152,"{0: 85, 1: 13, 2: 15, 3: 11, 4: 6}",0
8,False,"{'a': 0.05, 'e': 0.96}",30,-100,-560.4393032771058,"{0: 75, 1: 16, 2: 31, 3: 2, 4: 6}",0
9,False,"{'a': 0.05, 'e': 0.955}",25,-100,-575.3966658382668,"{0: 72, 1: 20, 2: 23, 3: 3, 4: 7}",0
10,False,"{'a': 0.05, 'e': 0.95}",35,-93,-752.9180485298544,"{0: 66, 1: 17, 2: 29, 3: 9, 4: 7}",0
11,False,"{'a': 0.05, 'e': 0.945}",25,-100,-686.965041545809,"{0: 73, 1: 13, 2: 24, 3: 6, 4: 9}",0
12,False,"{'a': 0.05, 'e': 0.94}",30,-100,-422.70534930092435,"{0: 81, 1: 12, 2: 33, 3: 1, 4: 3}",0
13,False,"{'a': 0.05, 'e': 0.9349999999999999}",30,-100,-366.33710655155966,"{0: 83, 1: 21, 2: 19, 3: 4, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.9299999999999999}",25,-86,-441.9021455156382,"{0: 72, 1: 11, 2: 19, 3: 3, 4: 6}",0
15,False,"{'a': 0.05, 'e': 0.9249999999999999}",30,-3,-82.15537191728771,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.9199999999999999}",30,-100,-683.3669990269996,"{0: 74, 1: 22, 2: 23, 3: 0, 4: 11}",0
17,False,"{'a': 0.05, 'e': 0.9149999999999999}",20,-68,-470.2946875573807,"{0: 49, 1: 13, 2: 17, 3: 3, 4: 6}",0
18,False,"{'a': 0.05, 'e': 0.9099999999999999}",25,-67,-410.15896629755207,"{0: 52, 1: 12, 2: 20, 3: 5, 4: 3}",0
19,False,"{'a': 0.05, 'e': 0.9049999999999999}",20,-60,-450.42285345599123,"{0: 47, 1: 6, 2: 19, 3: 1, 4: 7}",0
20,False,"{'a': 0.05, 'e': 0.8999999999999999}",20,-97,-434.2391200389354,"{0: 79, 1: 7, 2: 20, 3: 6, 4: 5}",0
21,False,"{'a': 0.05, 'e': 0.8949999999999999}",25,-37,-311.9144247604304,"{0: 36, 1: 6, 2: 13, 3: 4, 4: 3}",0
22,False,"{'a': 0.05, 'e': 0.8899999999999999}",20,-10,-149.75520310476136,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
23,False,"{'a': 0.05, 'e': 0.8849999999999999}",20,-38,-159.2280136598487,"{0: 41, 1: 4, 2: 8, 3: 4, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.8799999999999999}",30,17,-84.0199927951211,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
25,False,"{'a': 0.05, 'e': 0.8749999999999999}",20,-100,-461.53696559388294,"{0: 75, 1: 12, 2: 23, 3: 6, 4: 4}",0
26,False,"{'a': 0.05, 'e': 0.8699999999999999}",20,3,-16.466943079297103,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.05, 'e': 0.8649999999999999}",20,14,-2.2017915321245987,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.05, 'e': 0.8599999999999999}",20,-11,-72.3697833827596,"{0: 21, 1: 6, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.05, 'e': 0.8549999999999999}",25,-14,-157.7461215218053,"{0: 23, 1: 6, 2: 8, 3: 0, 4: 2}",0
30,False,"{'a': 0.05, 'e': 0.8499999999999999}",25,-24,-185.72435595770955,"{0: 33, 1: 4, 2: 8, 3: 1, 4: 3}",0
31,False,"{'a': 0.05, 'e': 0.8449999999999999}",30,18,-67.66047166398806,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.05, 'e': 0.8399999999999999}",25,-100,-503.0491027554571,"{0: 78, 1: 14, 2: 25, 3: 2, 4: 6}",0
33,False,"{'a': 0.05, 'e': 0.8349999999999999}",20,-18,-141.61751851478343,"{0: 25, 1: 4, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.05, 'e': 0.8299999999999998}",35,-46,-257.83703862384783,"{0: 52, 1: 4, 2: 22, 3: 1, 4: 2}",0
35,False,"{'a': 0.05, 'e': 0.8249999999999998}",20,-19,-281.5132029855805,"{0: 22, 1: 3, 2: 6, 3: 4, 4: 4}",0
36,False,"{'a': 0.05, 'e': 0.8199999999999998}",20,10,-6.112625176914919,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
