trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",20,-93,-469.40247299117476,"{0: 69, 1: 19, 2: 15, 3: 4, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",20,-100,-367.7096581198433,"{0: 76, 1: 19, 2: 20, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",25,-100,-603.6547058208193,"{0: 70, 1: 14, 2: 31, 3: 4, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",20,-50,-204.59756379690438,"{0: 46, 1: 3, 2: 18, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",25,5,-116.27484312383677,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",30,-3,-134.36034537400008,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",20,-18,-135.53213679731073,"{0: 25, 1: 3, 2: 6, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",20,12,-52.480263162179774,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,5,-50.73869638564631,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",25,3,-176.82977336051536,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",30,-100,-671.1090888889469,"{0: 80, 1: 13, 2: 21, 3: 7, 4: 9}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,-45,-301.6919277927619,"{0: 39, 1: 7, 2: 14, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",35,-100,-601.4999968189172,"{0: 81, 1: 18, 2: 25, 3: 3, 4: 8}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",25,-100,-740.8875411905684,"{0: 75, 1: 15, 2: 19, 3: 3, 4: 13}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",25,-37,-285.0142040126303,"{0: 38, 1: 9, 2: 10, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,1,-53.358587897463714,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",20,-22,-132.70447448852752,"{0: 31, 1: 3, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",20,-100,-517.8810844766952,"{0: 72, 1: 10, 2: 26, 3: 8, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",20,-74,-435.77744014582527,"{0: 54, 1: 7, 2: 24, 3: 6, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",25,-100,-664.2187291973901,"{0: 68, 1: 13, 2: 31, 3: 7, 4: 6}",0
1,True,"{'a': 0, 'e': 0}",20,-100,-695.4656072281988,"{0: 65, 1: 15, 2: 26, 3: 6, 4: 8}",0
2,True,"{'a': 0, 'e': 0}",20,12,-22.00002122594543,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,-100,-508.149004558287,"{0: 72, 1: 14, 2: 26, 3: 3, 4: 5}",0
4,True,"{'a': 0, 'e': 0}",20,-100,-491.6680011066674,"{0: 76, 1: 13, 2: 21, 3: 4, 4: 6}",0
5,True,"{'a': 0, 'e': 0}",20,-54,-384.36669563776036,"{0: 49, 1: 4, 2: 13, 3: 1, 4: 7}",0
6,True,"{'a': 0, 'e': 0}",20,-82,-554.5122289627514,"{0: 62, 1: 8, 2: 21, 3: 3, 4: 8}",0
7,True,"{'a': 0, 'e': 0}",25,-100,-543.0602405276911,"{0: 76, 1: 15, 2: 22, 3: 6, 4: 6}",0
8,True,"{'a': 0, 'e': 0}",25,-30,-173.6808805710974,"{0: 35, 1: 7, 2: 10, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,-100,-499.3579083060032,"{0: 78, 1: 11, 2: 25, 3: 6, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",25,-79,-497.3631477673199,"{0: 64, 1: 8, 2: 22, 3: 3, 4: 7}",0
